tenure,MonthlyCharges,TotalCharges,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MonthlyToTotalRatio,TenureGroup_13-24 months,TenureGroup_25-36 months,TenureGroup_37-48 months,TenureGroup_49-60 months,TenureGroup_61-72 months
0.10704778280226633,-0.5172074769706297,-0.2568175151591417,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,-0.45663332168277254,False,True,False,False,False
-0.7073594915983407,0.3436033691154218,-0.4997044884494322,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.3275878159943951,True,False,False,False,False
-0.7888002190384014,-0.8046983579993692,-0.7474924713807375,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,-0.3152474388204708,True,False,False,False,False
-0.2594354906780068,0.29042586511010604,-0.16672282892048734,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,-0.42231182215455915,False,True,False,False,False
-1.2774445836787656,-0.6717545979860794,-0.9884808553506347,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2.9952369527385385,False,False,False,False,False
1.369379058123207,0.4898415051300408,1.286095380340323,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,-0.5050233499703819,False,False,False,False,True
-1.2774445836787656,-1.4943441130683104,-0.9994087822528974,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,2.995236952728566,False,False,False,False,False
0.3106496014024181,-0.27126152094604356,0.04229860928279109,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.474842368919837,False,False,True,False,False
1.3286586944031769,-0.16490651293541178,0.6732925622534403,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,-0.5035907554547232,False,False,False,False,True
1.125056875803025,0.5247392421335293,1.1319784960884127,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,-0.5003368369171319,False,False,False,True,False
-1.1145631287986442,-0.1615829189350795,-0.8810560224083922,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.18029308296820198,False,False,False,False,False
-1.1145631287986442,-0.5105602889699654,-0.9054727641334477,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.19569515613699717,False,False,False,False,False
-1.2367242199587352,-0.4590445819648154,-0.9538205619434582,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9124251821544785,False,False,False,False,False
-0.0965540357978854,0.09433381909050333,-0.12499801711184812,True,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,-0.43927418370008936,False,True,False,False,False
0.14776814652229667,1.0182929511828682,0.5258207406229057,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,-0.4618001943464153,False,True,False,False,False
0.9214550572028734,0.142525932095321,0.6884812768165851,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.4955336269073652,False,False,False,True,False
-0.055833672077855064,0.6643301901474837,0.145749650624211,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,-0.4441355201749356,False,True,False,False,False
-0.1779947632379461,-0.9592454790148186,-0.5782531024256959,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,-0.42834384076154325,False,True,False,False,False
-0.6666391278783103,-1.5225946620711341,-0.8638583354248314,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,-0.3532875924195873,True,False,False,False,False
-1.0738427650786138,-1.4827115340671475,-0.9505311455627772,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,-0.010550051974069089,False,False,False,False,False
-0.21871512695797646,0.7025515211513048,-0.027905042331744786,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,-0.4218730160090162,False,True,False,False,False
1.0436161483629645,-1.3115464430500368,-0.3571778296999217,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,-0.49841111106130936,False,False,False,True,False
1.6137012404433893,1.3340343812144315,2.4060643897922156,True,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,-0.5111874000721289,False,False,False,False,True
-0.1779947632379461,-0.9642308700153169,-0.5836618743268158,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,-0.42722843213350237,False,True,False,False,False
0.3106496014024181,0.6743009721484804,0.47347707459206795,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,-0.4693155904463954,False,False,True,False,False
-1.2774445836787656,-1.4710789550659844,-0.9990997095728334,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,2.9952369527291784,False,False,False,False,False
-1.1145631287986442,0.5064594751317021,-0.8260190087369966,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.1299767120562288,False,False,False,False,False
-1.2774445836787656,0.14751132309581955,-0.9775970816883813,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2.9952369527413816,False,False,False,False,False
-0.8295205827584317,1.3473287572157604,-0.44491031759808686,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,-0.26598684466964123,False,False,False,False,False
-1.1145631287986442,1.0415581091851935,-0.8079603335732575,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0.19401270454701916,False,False,False,False,False
1.5729808767233588,0.7091987091519689,1.661309613938012,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,-0.5087872957210311,False,False,False,False,True
-1.1960038562387048,0.40508985812156867,-0.9073051235938271,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.6381828309156198,False,False,False,False,False
-0.0965540357978854,-1.4993295040688086,-0.7185720991747494,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,-0.45290803325243073,False,True,False,False,False
-0.30015585439803716,-1.481049737066981,-0.783896817768275,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,-0.418035214654506,False,True,False,False,False
0.7992939660427822,-1.3364733980525287,-0.4204494226330222,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,-0.49384701277096577,False,False,False,True,False
0.5549717837226001,1.503537675231376,1.1442310201909496,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,-0.4791985192136959,False,False,True,False,False
-0.9516816739185228,0.19071804510013865,-0.7441589017600472,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.14027130365842674,False,False,False,False,False
-0.5444780367182193,0.7341256641544608,-0.3174178370716892,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,-0.36206772542278404,True,False,False,False,False
-0.8295205827584317,-0.5105602889699654,-0.7380878312587902,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.2723177031746629,False,False,False,False,False
0.5142514200025698,1.1279715531938321,0.9901362125590438,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,-0.4818884238450264,False,False,True,False,False
0.14776814652229667,1.3207400052131024,0.6188736939421726,False,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,-0.45860444408439915,False,True,False,False,False
0.22920887396235737,1.0083221691818711,0.6216332714427439,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,-0.46782738072420704,False,False,True,False,False
